,QMan ,Rank ,FS ,Rank ,QG&S ,Rank ,AAT ,Rank,VLTI ,Rank ,CI ,Rank ,QMar ,Rank ,C&ER ,Rank  ,UCA ,Rank ,Total,Rank,Industry,Year
Sainsbury (J) ,6.9,6,5.8,9,7.5,3,7.3,3,5.9,7,6.5,5,7.2,3,7.5,2,6.1,8,60.8,5,Food and personal retailers,2011
Tesco ,7.2,5,7.9,3,6.9,5,7.8,1,6.9,3,7.4,2,7.1,4,6.5,4,6.6,6,64.3,3,Food and personal retailers,2011
Carpetright  ,6.3,8,4.7,8,5,9,4.3,9,4.8,7,3.8,10,3.8,10,3.8,10,6,5,42.6,9,Home retailers,2011
Debenhams ,7.2,4,5.8,5,6.1,6,5.8,4,5.9,5,6.2,5,5.9,5,4.8,6,7.2,1,54.8,4,Home retailers,2011
Dixons Retail ,7,6,3.4,10,6.3,5,5.1,7,3.1,10,6.4,4,6.1,3,5.3,4,6.2,2,48.8,6,Home retailers,2011
Dunelm ,7.4,3,7,3,6.3,4,5.6,5,6.7,3,5.9,6,4.9,7,4.3,9,6,5,54,5,Home retailers,2011
Home Retail Group ,6.2,9,4.8,7,4.9,10,4.9,8,3.3,9,4.6,7,5.1,6,4.7,7,5.6,8,44,8,Home retailers,2011
John Lewis Partnership ,8,2,7.9,1,8.4,1,7.9,2,7.8,1,7.6,1,7.7,1,6.8,2,5.8,7,67.8,1,Home retailers,2011
Kesa Electricals ,5.3,10,4.3,9,5.4,7,4.3,9,3.7,8,3.9,9,4.3,9,4.6,8,4.8,10,40.7,10,Home retailers,2011
Kingfisher ,8.1,1,7.1,2,6.6,3,7.1,3,6.9,2,6.9,3,6.1,3,6.5,3,6.1,3,61.5,3,Home retailers,2011
Marks & Spencer ,7.2,4,6.9,4,7.5,2,8.3,1,6.2,4,7.2,2,7.6,2,7.8,1,6.1,4,64.9,2,Home retailers,2011
Wilkinson ,6.3,7,5.7,6,5.2,8,5.3,6,5.2,6,4.5,8,4.8,8,5,5,5.3,9,47.4,7,Home retailers,2011
Carphone Warehouse ,6.8,4,7.6,1,7.9,1,7.7,1,6.9,1,7.6,1,7.9,1,6.1,1,6.7,2,65.2,1,Specialist retailers,2011
Game Group ,5.7,10,4.8,10,6.8,3,5.5,10,4.6,10,5.9,3,5.6,6,4.8,9,5.5,10,49.3,10,Specialist retailers,2011
Halfords ,6.1,8,7,3,6.7,5,5.7,9,5.8,7,5.8,5,5.8,4,5.3,4,6.1,5,54.4,6,Specialist retailers,2011
Inchcape ,6.8,4,6.9,4,7.3,2,6.5,2,6.8,2,6.1,2,6.1,2,5.2,5,6.2,4,57.9,2,Specialist retailers,2011
Lookers ,6.1,7,5.9,9,6.2,8,5.8,7,5.8,9,5.7,7,5.6,7,5.1,7,5.7,8,51.8,8,Specialist retailers,2011
Mothercare ,6,9,6.6,7,6.8,4,6,6,5.8,8,5.6,9,5.3,8,5.9,2,5.7,7,53.7,7,Specialist retailers,2011
Pets at Home ,7.1,2,6.3,8,6.4,7,6.4,3,6.5,4,5.9,4,5.7,5,5.6,3,6.4,3,56.3,3,Specialist retailers,2011
Poundland ,6.9,3,6.8,5,5.1,10,5.8,8,6.4,5,5.8,6,4.4,10,4.4,10,5.5,9,50.9,9,Specialist retailers,2011
WH Smith ,7.6,1,7.6,1,5.7,9,6.4,3,6.2,6,5.2,10,5.3,8,5.1,8,7,1,56.1,4,Specialist retailers,2011
Wickes ,6.7,6,6.6,6,6.5,6,6.4,5,6.6,3,5.6,8,6,3,5.2,5,6.1,5,55.8,5,Specialist retailers,2011
